movie_title,keyword,count,weighted_count,rank
왕과 사는 남자,배우,317,802.6671423522273,1
왕과 사는 남자,감독,156,517.9784429909769,2
왕과 사는 남자,역사,105,506.3750116292088,3
왕과 사는 남자,천만,112,454.5470195870629,4
왕과 사는 남자,생각,101,383.8663023159876,5
왕과 사는 남자,지금,57,374.8669650868045,6
왕과 사는 남자,눈물,108,344.07106363937584,7
왕과 사는 남자,세조,70,328.5209207616838,8
왕과 사는 남자,정도,41,283.0680319395716,9
왕과 사는 남자,수양,53,271.00730034823954,10
왕과 사는 남자,조선,46,257.9077753485538,11
왕과 사는 남자,그냥,53,256.7377091733754,12
왕과 사는 남자,극장,25,212.0816728252161,13
왕과 사는 남자,문종,47,210.54129810457835,14
왕과 사는 남자,여기,36,202.05511922976453,15
왕과 사는 남자,계속,41,199.7400694893275,16
왕과 사는 남자,마음,44,198.8647580198155,17
왕과 사는 남자,영월,38,196.3332785044656,18
왕과 사는 남자,작품,39,194.04838149565154,19
왕과 사는 남자,세종,50,187.74668935005303,20
왕과 사는 남자,마지막,58,179.3528016811457,21
왕과 사는 남자,축하,46,177.88924594619223,22
왕과 사는 남자,이번,41,174.62040156849525,23
왕과 사는 남자,최고,76,174.28959660847656,24
왕과 사는 남자,나이,21,160.883598673575,25
왕과 사는 남자,모습,33,157.04976252197707,26
왕과 사는 남자,얼굴,28,151.16776174729387,27
왕과 사는 남자,대군,44,143.0568391386858,28
왕과 사는 남자,하나,44,134.09848510807123,29
왕과 사는 남자,엄마,23,126.9031025511259,30
명량,생각,7,25.614820258529445,1
명량,복장,6,25.54857922812889,2
명량,소름,9,25.29097747106626,3
명량,이순신,17,24.22301429740952,4
명량,한산,6,21.233843226349656,5
명량,지금,5,19.61580790359578,6
명량,조선군,5,18.862943611198904,7
명량,이순신장군,7,17.638780276210895,8
명량,전투,5,17.588482363054958,9
명량,설정,4,17.032386152085927,10
명량,장군,14,16.718184202173404,11
명량,기대,8,15.720647168348696,12
명량,우리나라,5,15.27061866847773,13
명량,노량,5,14.122746460255229,14
명량,다시,4,13.309110822337669,15
명량,대박,4,12.560264653985083,16
명량,갑옷,3,11.671115273688493,17
명량,상황,3,11.615038874652036,18
명량,용기,3,11.557894289739952,19
명량,역시,5,11.40466922731032,20
명량,배우,5,11.40466922731032,21
명량,일본,8,11.243720864865315,22
명량,감동,3,10.69484807238461,23
명량,우리,3,10.69484807238461,24
명량,레전드,3,10.616921613174828,25
명량,스토리,5,10.148097085905793,26
명량,곳도,4,10.016309587105097,27
명량,세자,4,10.016309587105097,28
명량,대한민국,3,9.360790608600272,29
명량,국민,3,9.360790608600272,30
극한직업,지금,66,286.45904948596075,1
극한직업,통닭,46,211.09119427257068,2
극한직업,갈비,49,210.34763387572772,3
극한직업,마지막,32,153.5005663415845,4
극한직업,연기,24,147.41746280660672,5
극한직업,배우,34,112.78425234211674,6
극한직업,개봉,21,112.08964048829588,7
극한직업,개그,19,105.86789215123464,8
극한직업,마약,16,89.39006265625343,9
극한직업,그냥,25,83.8319551827391,10
극한직업,진심,15,83.26598890492336,11
극한직업,생각,28,81.16931498702272,12
극한직업,이하늬,18,78.95289116601862,13
극한직업,계속,21,78.71831458387513,14
극한직업,작품,14,74.61710268217365,15
극한직업,기대,29,72.72914330322564,16
극한직업,재미,21,69.94587536917558,17
극한직업,노래,18,69.80308628215694,18
극한직업,장면,20,65.74942910367996,19
극한직업,웃기,22,65.37415675271032,20
극한직업,정도,12,64.96569461450385,21
극한직업,민족,15,64.58497432410887,22
극한직업,배달,14,61.245209569985605,23
극한직업,사람,33,58.28368641396956,24
극한직업,스포,10,57.99090878625398,25
극한직업,진선규,18,52.297538178610374,26
극한직업,아시,16,52.020668777703925,27
극한직업,반전,10,50.8260930600368,28
극한직업,이번,13,50.40708858978334,29
극한직업,웃음,17,49.93701176696063,30
파묘,연기,195,556.0383472662871,1
파묘,배우,206,505.12142216863026,2
파묘,김고은,93,384.2088321961699,3
파묘,감독,152,361.2092925183068,4
파묘,박지훈,107,318.44866156522704,5
파묘,유해진,118,268.64913144051235,6
파묘,사람,103,266.7524324277096,7
파묘,작품,41,260.78010176614913,8
파묘,계속,43,247.6964872330306,9
파묘,단종,102,245.13718210853557,10
파묘,오컬트,96,244.31034156446682,11
파묘,기대,110,243.72938664965207,12
파묘,한국,68,238.1304237017885,13
파묘,윤석열,72,228.74103935111782,14
파묘,최민식,75,227.766144544578,15
파묘,생각,73,210.17804426804372,16
파묘,계엄,60,206.62771569273417,17
파묘,바하,89,188.754352865301,18
파묘,이도현,30,179.2951149280645,19
파묘,장면,51,170.00725458068257,20
파묘,지금,53,168.66936140105506,21
파묘,그냥,65,163.31822561887185,22
파묘,장르,34,155.75620828281447,23
파묘,민주당,44,148.1221779192328,24
파묘,극장,47,142.9503406754385,25
파묘,국민,48,141.26061700402443,26
파묘,대통령,42,129.46135910689773,27
파묘,나라,38,120.36685474922389,28
파묘,댓글,37,119.1756888916538,29
파묘,천만,55,116.08633449513563,30
서울의 봄,전두환,337,849.0562558236404,1
서울의 봄,사람,130,631.6841654685721,2
서울의 봄,대통령,226,628.5921779266112,3
서울의 봄,계엄,134,538.4928100629606,4
서울의 봄,지금,121,501.2180799373255,5
서울의 봄,윤석열,131,399.8592363831087,6
서울의 봄,국민,138,368.8211203396772,7
서울의 봄,대한민국,107,339.9708144901446,8
서울의 봄,개봉,67,282.1829526067315,9
서울의 봄,계엄령,70,275.7413345445918,10
서울의 봄,역사,108,264.5022883347635,11
서울의 봄,나라,85,250.25938534414792,12
서울의 봄,선포,43,235.89885729322168,13
서울의 봄,생각,80,228.34743644238583,14
서울의 봄,알고리즘,58,222.79506337438897,15
서울의 봄,좌파,72,198.28937816965498,16
서울의 봄,쿠데타,75,190.31878564995876,17
서울의 봄,북한,72,188.8726488887834,18
서울의 봄,국회,40,182.32804521887283,19
서울의 봄,박정희,77,180.9443572050742,20
서울의 봄,비상계엄,28,175.1159631180218,21
서울의 봄,탄핵,56,174.41384024350194,22
서울의 봄,다시,59,173.5222904648404,23
서울의 봄,우리,64,155.17524642700974,24
서울의 봄,군사,55,151.33627237546455,25
서울의 봄,국가,50,148.28563881757466,26
서울의 봄,이재명,57,148.1347807769031,27
서울의 봄,민주당,43,144.5355858342954,28
서울의 봄,선동,47,144.48308519811025,29
서울의 봄,사건,52,144.1617519352896,30
범죄도시2,배우,62,181.78330625327573,1
범죄도시2,누가,35,160.94700090313,2
범죄도시2,장첸,83,158.85188939390798,3
범죄도시2,빌런,52,153.1873277508763,4
범죄도시2,기대,73,124.59295678094784,5
범죄도시2,대박,23,115.25939316104021,6
범죄도시2,악역,39,106.82551369396269,7
범죄도시2,해상,45,105.07504800295528,8
범죄도시2,연기,43,98.13567505270441,9
범죄도시2,생각,29,92.71951274275037,10
범죄도시2,터널,59,87.10402741399447,11
범죄도시2,사람,50,87.09686723646887,12
범죄도시2,석도,27,82.25542942093301,13
범죄도시2,펀치,18,81.96767097847696,14
범죄도시2,느낌,32,79.45676760251013,15
범죄도시2,주먹,22,74.29438913108994,16
범죄도시2,동석,25,74.21274952431386,17
범죄도시2,정도,16,73.5843699998732,18
범죄도시2,존나,23,72.28027019593145,19
범죄도시2,편도,25,71.56321350290655,20
범죄도시2,소리,24,70.84427722980308,21
범죄도시2,스토리,23,67.03032120036892,22
범죄도시2,경찰,21,65.52553426020191,23
범죄도시2,캐릭터,24,65.27486327047117,24
범죄도시2,재미,23,64.21046779224527,25
범죄도시2,싱글,11,62.65973530439023,26
범죄도시2,격감,14,61.073005676842484,27
범죄도시2,개인,20,58.04215052793842,28
범죄도시2,걱정,13,57.21556596160803,29
범죄도시2,최고,23,54.37925545122565,30
신과함께-죄와 벌,그냥,31,98.66630068862418,1
신과함께-죄와 벌,원작,64,89.27960372741562,2
신과함께-죄와 벌,내용,30,89.08321939396522,3
신과함께-죄와 벌,웹툰,36,79.64177785706273,4
신과함께-죄와 벌,김자,36,77.1792796892243,5
신과함께-죄와 벌,생각,39,71.61367294382413,6
신과함께-죄와 벌,마지막,36,67.34982088070632,7
신과함께-죄와 벌,소방관,20,64.05529515423669,8
신과함께-죄와 벌,귀인,27,61.52960103747445,9
신과함께-죄와 벌,느낌,16,56.9620811364094,10
신과함께-죄와 벌,사람,39,55.80053372760571,11
신과함께-죄와 벌,무슨,14,54.74026257391946,12
신과함께-죄와 벌,울음,10,53.0406509320417,13
신과함께-죄와 벌,김주혁,15,52.845876236285655,14
신과함께-죄와 벌,배우,23,43.87381219382421,15
신과함께-죄와 벌,눈물,33,40.958347874957305,16
신과함께-죄와 벌,스토리,23,39.437027872960904,17
신과함께-죄와 벌,감동,34,37.781671593747625,18
신과함께-죄와 벌,부분,11,36.4279842136536,19
신과함께-죄와 벌,신파,9,35.499950812497964,20
신과함께-죄와 벌,망작,15,33.05959206488904,21
신과함께-죄와 벌,차태현,19,32.663330672300916,22
신과함께-죄와 벌,이건,13,31.985230332556963,23
신과함께-죄와 벌,한국,16,31.8177822952605,24
신과함께-죄와 벌,한국영,10,30.79441541679836,25
신과함께-죄와 벌,명작,11,29.660942183661028,26
신과함께-죄와 벌,이형,8,29.52994466228663,27
신과함께-죄와 벌,냄새,7,28.311657064063958,28
신과함께-죄와 벌,작품,10,27.91759469228055,29
신과함께-죄와 벌,감독,15,27.70946790580805,30
국제시장,눈물,102,593.7332154257628,1
국제시장,아버지,94,585.1664085072754,2
국제시장,우리,75,339.9753800501123,3
국제시장,연기,73,308.01792426047615,4
국제시장,지금,58,273.1182647401188,5
국제시장,시대,59,222.58273461214708,6
국제시장,생각,48,217.50002447569693,7
국제시장,사람,70,213.66033868297194,8
국제시장,할아버지,50,205.40838514418897,9
국제시장,김윤진,35,194.34356059605665,10
국제시장,장면,45,182.71218576112028,11
국제시장,세대,62,162.97368536959289,12
국제시장,다시,32,159.81372363012412,13
국제시장,시절,29,157.29059673808302,14
국제시장,감동,35,142.7289630126837,15
국제시장,배우,35,142.54426601415418,16
국제시장,대한민국,41,140.21286502798597,17
국제시장,나라,41,129.9597631931428,18
국제시장,남자,17,120.60648010610471,19
국제시장,역사,29,118.64023114739116,20
국제시장,기억,19,116.23589346817766,21
국제시장,그냥,23,115.67220174538228,22
국제시장,가장,16,114.97316395184701,23
국제시장,정치,29,114.38873039582677,24
국제시장,마지막,20,110.68422194095194,25
국제시장,부모님,19,109.80334636911907,26
국제시장,고생,31,108.69170549529385,27
국제시장,인생,20,105.36595738691078,28
국제시장,마음,18,104.78924548472708,29
국제시장,동생,15,101.04858446218788,30
한산: 용의 출현,전쟁,126,319.0200652042758,1
한산: 용의 출현,이순신장군,112,303.837207591499,2
한산: 용의 출현,전투,85,292.98990440845273,3
한산: 용의 출현,조선,180,291.81126256827406,4
한산: 용의 출현,생각,97,276.62241545856784,5
한산: 용의 출현,국뽕,103,273.8450999335351,6
한산: 용의 출현,역사,108,253.12335264371822,7
한산: 용의 출현,나라,102,244.64442752702968,8
한산: 용의 출현,배우,102,244.64442752702968,9
한산: 용의 출현,우리,99,242.06835125313958,10
한산: 용의 출현,실제,71,240.51954117977357,11
한산: 용의 출현,선조,78,223.5376604277786,12
한산: 용의 출현,장면,63,204.24975937419015,13
한산: 용의 출현,사람,88,195.9272180956635,14
한산: 용의 출현,박해일,99,191.1029758107222,15
한산: 용의 출현,영화관,36,159.39702176019327,16
한산: 용의 출현,바다,67,148.75724567205924,17
한산: 용의 출현,기대,49,147.26134490677958,18
한산: 용의 출현,웅장,44,141.22995890908555,19
한산: 용의 출현,원균,75,138.54733952904027,20
한산: 용의 출현,가토,33,137.75053905952,21
한산: 용의 출현,정도,60,136.01685620923945,22
한산: 용의 출현,승리,50,134.87243948784067,23
한산: 용의 출현,존경,44,132.11914088773165,24
한산: 용의 출현,위해,45,130.66940374220476,25
한산: 용의 출현,기록,51,128.04019596767085,26
한산: 용의 출현,해군,57,122.54461823417263,27
한산: 용의 출현,압도,31,120.76774473216405,28
한산: 용의 출현,가슴,44,119.00891605849071,29
한산: 용의 출현,임진왜란,88,116.74821226244441,30
공조2: 인터내셔날,윤아,87,331.34571529037794,1
공조2: 인터내셔날,현빈,91,294.9683891358652,2
공조2: 인터내셔날,기대,55,193.87506088444331,3
공조2: 인터내셔날,유해진,38,128.93776582032535,4
공조2: 인터내셔날,다니엘,34,107.57596361006857,5
공조2: 인터내셔날,연기,23,90.72209652082813,6
공조2: 인터내셔날,다니엘헤니,35,89.48239044034953,7
공조2: 인터내셔날,배우,28,77.66474698431055,8
공조2: 인터내셔날,범죄,25,74.0726931355971,9
공조2: 인터내셔날,천만,15,67.29532785003694,10
공조2: 인터내셔날,액션,15,57.08067817594158,11
공조2: 인터내셔날,개봉,16,56.33145763975538,12
공조2: 인터내셔날,북한,35,56.123725765459035,13
공조2: 인터내셔날,도시,16,52.741047679687206,14
공조2: 인터내셔날,소년단,12,52.441983268973125,15
공조2: 인터내셔날,조선,12,52.441983268973125,16
공조2: 인터내셔날,김삼순,17,49.04985396306093,17
공조2: 인터내셔날,무조건,13,48.98100266544982,18
공조2: 인터내셔날,이건,18,46.96988242381381,19
공조2: 인터내셔날,완전,11,46.56648159925294,20
공조2: 인터내셔날,이후,17,46.071384449634394,21
공조2: 인터내셔날,이번,16,41.13946719382244,22
공조2: 인터내셔날,다시,12,39.530602119882346,23
공조2: 인터내셔날,벌써,10,39.33856869835904,24
공조2: 인터내셔날,대박,14,38.747266847085925,25
공조2: 인터내셔날,경찰,10,37.85011242238338,26
공조2: 인터내셔날,헤니,13,37.410124687374136,27
공조2: 인터내셔날,생각,10,35.87764035227708,28
공조2: 인터내셔날,진선규,13,33.922692861643306,29
공조2: 인터내셔날,그대로,10,32.823823856765266,30
베테랑2,정해,369,1225.3920027592342,1
베테랑2,연기,111,515.1661003521534,2
베테랑2,범죄,210,457.3636466964586,3
베테랑2,빌런,139,407.75656614170447,4
베테랑2,도시,180,399.3950550275436,5
베테랑2,유아인,144,328.898233727924,6
베테랑2,황정민,144,325.5362133123573,7
베테랑2,배우,73,309.3254218998328,8
베테랑2,기대,95,305.932964501922,9
베테랑2,경찰,101,280.1175297591414,10
베테랑2,악역,66,247.2814075913032,11
베테랑2,사람,69,231.6721386913865,12
베테랑2,생각,56,170.1522770053377,13
베테랑2,액션,72,156.24513019081832,14
베테랑2,개봉,58,141.0918691020595,15
베테랑2,감독,60,134.3024538625961,16
베테랑2,다시,34,129.00986416757033,17
베테랑2,류승완,61,128.67839961520582,18
베테랑2,드라마,25,120.69428632451387,19
베테랑2,하나,33,119.29367267519453,20
베테랑2,형사,49,115.91807862194058,21
베테랑2,시리즈,43,113.19437951832836,22
베테랑2,다른,27,112.68216317136897,23
베테랑2,이번,30,112.09589017272236,24
베테랑2,느낌,58,100.65015703291867,25
베테랑2,정도,20,100.0738038790794,26
베테랑2,비질,50,97.77557225137181,27
베테랑2,그냥,48,97.27866187406498,28
베테랑2,란테,50,96.60820405152226,29
베테랑2,한번,19,87.14233432262947,30
밀수,배우,62,205.85063160475954,1
밀수,연기,44,152.74865794474465,2
밀수,기대,27,72.38421566323862,3
밀수,여름,20,70.75314430347059,4
밀수,느낌,26,66.40628325112432,5
밀수,스토리,18,55.304511702547366,6
밀수,라인업,17,53.672727126282844,7
밀수,극장,16,43.812332548433105,8
밀수,한국영,22,43.70288979204288,9
밀수,캐스팅,11,39.957969134534714,10
밀수,액션,17,38.72022884199062,11
밀수,예상,15,38.52923876870768,12
밀수,그냥,18,37.43856280180722,13
밀수,내용,16,35.16325106099745,14
밀수,정도,16,34.54779056775271,15
밀수,재미,16,34.23094853101384,16
밀수,대박,8,31.50270636108071,17
밀수,혜수,11,31.356599661760875,18
밀수,생각,13,31.02182669455858,19
밀수,흥행,13,29.981271494802606,20
밀수,한국,12,28.882963779871513,21
밀수,조합,8,28.125426467638032,22
밀수,마약,10,27.578579175523736,23
밀수,어제,8,26.618221644675337,24
밀수,킬링타임,7,26.408121055678468,25
밀수,다음,6,25.700486076034633,26
밀수,소재,9,25.29097747106626,27
밀수,사람,10,25.040773967762743,28
밀수,모가디슈,8,24.75956582572641,29
밀수,뭔가,9,23.68275137237588,30
하얼빈,안중근,312,734.876204643767,1
하얼빈,일본,209,537.6308979175341,2
하얼빈,독립,127,501.7830760030348,3
하얼빈,지금,119,419.04056921759604,4
하얼빈,배우,120,402.8298525046912,5
하얼빈,기대,107,355.55429343719504,6
하얼빈,생각,87,351.58726761335316,7
하얼빈,역사,141,349.13138782733796,8
하얼빈,현빈,148,331.3952828330592,9
하얼빈,한국,79,310.39078267424895,10
하얼빈,우리,123,303.35945946159154,11
하얼빈,나라,128,286.62779112423436,12
하얼빈,의사,106,254.68291357511814,13
하얼빈,개봉,67,245.5791730912797,14
하얼빈,영웅,103,241.96835112312814,15
하얼빈,사람,77,232.347273290387,16
하얼빈,대한민국,88,220.5807530263906,17
하얼빈,감독,64,209.33352925948577,18
하얼빈,시국,50,204.04960587524076,19
하얼빈,천만,55,182.33776300821472,20
하얼빈,연기,76,176.4534438386563,21
하얼빈,이토,98,166.9233560983484,22
하얼빈,국민,61,165.44249390989216,23
하얼빈,조선,90,164.08802779273287,24
하얼빈,가슴,40,161.54209082947676,25
하얼빈,독립운동,37,158.42377795553097,26
하얼빈,그냥,49,154.85317466987573,27
하얼빈,영화로,35,145.04532975352924,28
하얼빈,작품,38,140.97251589732574,29
하얼빈,늑대,53,138.69870747695077,30
노량: 죽음의 바다,이순신,67,213.76812157454037,1
노량: 죽음의 바다,마즈,49,194.3704920973562,2
노량: 죽음의 바다,배우,35,126.42589502896246,3
노량: 죽음의 바다,고니시,30,110.22445948279587,4
노량: 죽음의 바다,전투,23,100.3094578079044,5
노량: 죽음의 바다,장군,29,98.7202135011627,6
노량: 죽음의 바다,일본,31,88.48267461249105,7
노량: 죽음의 바다,히로,24,84.29533497542675,8
노량: 죽음의 바다,경장,21,83.70941927329464,9
노량: 죽음의 바다,노량해전,15,71.78555458124214,10
노량: 죽음의 바다,아귀,20,69.61462556755039,11
노량: 죽음의 바다,기대,14,63.77487286085179,12
노량: 죽음의 바다,명량,22,57.003953022849885,13
노량: 죽음의 바다,한산,20,54.094961844768505,14
노량: 죽음의 바다,시마,10,49.85273467167738,15
노량: 죽음의 바다,그냥,11,46.8390619182363,16
노량: 죽음의 바다,장수,12,42.06631124388883,17
노량: 죽음의 바다,이순신장군,11,41.68439586346623,18
노량: 죽음의 바다,포스,9,39.93808523249727,19
노량: 죽음의 바다,조선,17,39.26866349970038,20
노량: 죽음의 바다,실제,7,31.801193039709613,21
노량: 죽음의 바다,하라,11,30.370865916174314,22
노량: 죽음의 바다,지금,12,30.269118425333644,23
노량: 죽음의 바다,가장,8,28.89525072439446,24
노량: 죽음의 바다,임진왜란,8,28.74709834225656,25
노량: 죽음의 바다,다이묘,5,28.307752597120995,26
노량: 죽음의 바다,다른,5,28.250717758154114,27
노량: 죽음의 바다,생각,12,27.861070079787837,28
노량: 죽음의 바다,역사,10,27.578579175523736,29
노량: 죽음의 바다,정도,9,27.46143598241826,30
엑시트,윤아,120,548.7937835235467,1
엑시트,조정석,113,458.262397186391,2
엑시트,재난,53,254.4634328679712,3
엑시트,코믹,52,208.22614227037323,4
엑시트,연기,39,143.60091387325903,5
엑시트,탈출,24,142.3047595529287,6
엑시트,신파,30,132.66266222080594,7
엑시트,게임,24,120.75087423011912,8
엑시트,사람,24,114.08203140603617,9
엑시트,코미디,31,106.0536262492357,10
엑시트,기대,22,90.58604660024288,11
엑시트,재난영화,25,88.10318407353203,12
엑시트,배우,17,87.73223372983854,13
엑시트,웃기,19,77.36264543010635,14
엑시트,때문,14,71.22046501840883,15
엑시트,주인공,12,64.15161101829815,16
엑시트,화이팅,11,62.56806810723965,17
엑시트,소재,13,62.41977417350871,18
엑시트,따따,21,59.91966460677726,19
엑시트,건가,15,58.84742371078734,20
엑시트,액션,14,56.859407412855994,21
엑시트,심마니,13,56.74031721706865,22
엑시트,영화로,14,55.99016275605882,23
엑시트,이건,17,55.841267962129166,24
엑시트,스토리,18,55.55451572143937,25
엑시트,정석,17,55.5331024240557,26
엑시트,백수,9,52.070743567194505,27
